company,total_complaints
I felt humiliated by Bank of America. The way they treat people they can not profit from. They had no reason to treat me like that,0
Citi bank confirmed with me on XX/XX/XXXX they were finally able to unlink the digital wallet that the charges were coming from but yet still a charge got posted on XXXX,0
This is how peoples credit score gets impacted and creditors show missing payments when trying to make payments.,0
If there is a balance on your account,0
I trusted them.,0
"On XX/XX/XXXX I visited this location and when I went to pay for my purchase with my TJ Maxx credit card ( MC that can be used anywhere ) the store associate said that I had a very old outdated card and asked me if I wanted to upgrade to the newest \\\" TJ maxx GOLD card that is an international card and can be used at any location and that I would get more points with it. '' However",0
you dont think chase knows their login works? really?,0
Erroneous account Direct Violation of 15 USC 1681 Reporting incorrectly. PAYMENT HISTORY DATES ACCOUNT NUMBERS BALANCE INCORRECT AMOUNTS PAYMENT STATUS Inaccurate across all XXXX Bureaus XXXX XXXX and XXXX XXXX XXXX inaccurate/invalidated account Prove it.,0
I have paid every single one of my bills on time my entire adult life. My other accounts with synchrony have impeccable payment history.,0
Now for the balance of {$0.00},0
I reopened the dispute with American Express and once again provided documentation of the shipping weights. This time,0
The reasons given are very vague and are inconclusive. One of the reasons they state is to have money in their account which doesnt make sense because if doesnt pay any interest.,0
Cit Premier card ending in XXXX ( account since XX/XX/XXXX ) - Credit limit of {$7000.00} Restore my intro bonus of XXXX Thank You points after {$4000.00} spending when I opened the account on XX/XX/XXXX,0
I humbly request that you reactivate my account as soon as possible.,0
Detailed evidence was provided to Fidelity in a timely fashion contained within the forms and subsequent photo evidence and that supported the following : **in response to my reaching out to return the product**,0
Thanks for your attention to this matter. Sincerely,0
XXXXXXXX XXXX XXXX  ething that does not belong to me. I need someone with legal leverage to come in and help.,0
Upon my request,0
Thank you for your attention to this matter. I look forward to receiving a timely response and a resolution that upholds the trust and confidence I have placed in your services.,0
I understand that you are obligated to investigate the disputed inquiries within 30 days,0
Require Citibank to provide a detailed response to my dispute,0
So Wells Fargo cancelled and inactivated that card so it could no longer be used,0
So,0
I. Issue 1 : Mischaracterization of Roles.,0
I am being damaged every minute and I can not get back the time and suffering because of this fraud. I need my monetary relief and I need it now.,0
So I proceeded to go through opening a new account and she provided me with the temporary shopping pass. ( XXXX XXXX : XXXX ) When I contacted TJ Maxx customer service the representative confirmed that the card I already had ( opened in XXXX ) was the TJ Maxx MasterCard that can be used anywhere. Since I already had this,0
Inquiries I want these inquiries removed they are ruining my credit by black listing me and making me apply frivilously without ever obtaining credit.,0
Since when did it become necessary for a bank to have access to our phones,0
On XX/XX/2023 - I received a response from XXXX that stated RBFCU confirmed that the balance was correct and that my dispute was closed.,0
Surely the past 6 months of card usage have demonstrated to Amex that my Hilton XXXX card is a profitable account for the company. I want this card regardless of the sign-up bonus,0
I kindly request that you investigate this matter thoroughly and provide me with a detailed explanation as to why these interest charges were applied to my account. I firmly believe that this situation must be rectified,0
I picked up the package and spent another 45 minutes commuting to the location where I had initially shipped it from. I waited another 35 minutes on the line and asked to see a manager but was told that they were none on the premises.,0
I have reached out multiple times to Ally support and have 2 case numbers involving my recent inquiries into these faults one is # XXXX,0
Thank you for your attention to this matter. I remain hopeful for a swift and fair resolution to the dispute.,0
Thank you for your attention to this matter. I look forward to your prompt response and a constructive dialogue.,0
A Tale of Two Narratives : Theres an evident disparity between the narrative spun by American Express 's responses and our initial assertions. This gap pushes us to seek a higher avenue of redress.,0
On XX/XX/XXXX I was sent a copy of the letter from Cit Card requesting my correct account information.,0
C. From : Ashley Customer Care XXXX XXXX XXXX Sent : XX/XX/2023 XXXXXXXX XXXX  To : XXXX Cc : XXXX ; XXXX Subject : RE : XXXX : XXXX : IN HOME DAMAGE XXXX XXXX XXXX  : XXXX XXXX XXXX XXXXXXXXXXXX XXXX XXXX XXXX Good morning,0
-- -- This message came from Chase and was not a fraudulent email This was the address : XXXX.,0
I then requested a return shipping label And emphasized the fact that XXXX have not agreed to ship the item back to XXXX XXXX. I requested to cancel the order placed. This information was sent to a XXXX XXXX at another email address XXXX This email was responded to and addressed however not until XXXX. I was provided the following 'We ask our shipping carrier to hold package,0
